inventory_index,title,description,image_uri,zora_url,contract,token_id,chain,tx_hash,created_at,source_repository,source_ref,source_path
1,ALICIA LEWIS — KAREN11 ANCHOR #8,"Minnesota State Fair edition. KAREN11 goes full Garbage Pail Kid. Alicia Lewis gets the exaggerated anchor-card treatment: coffee splash, studio chaos, replay receipts, and zero-filter satire.

RUN ONE doctrine:
CLAIM → RECEIPT → REPLAY

Journalism is observed. Satire is labeled. Wallet identity is not inferred. No allegation, endorsement, or authority is created by the artwork.

Replay-Law V0.1
NO_MERGE = TRUE
NO_DELETION = TRUE
NO_FAKE_GREEN = TRUE
AUTHORITY_CREATED = FALSE

jaywisdom.base.eth
computerwisdom.eth
JSONWisdom × KAREN11 × State Fair Series

👹📺☕🧾 Third time’s a charm. Receipts stay longer than the broadcast.",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWZxN2pxY3hkamlkZ2huZTRzeGs0bTJ1em5kbXJ2ZW5rNWVzdGtoYnBidWZrbjN5bWpkY2E=,https://zora.co/coin/base:0x3de98ce63339443e209e948915b3a1782bcc64fc,0x3de98ce63339443e209e948915b3a1782bcc64fc,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4M2RlOThjZTYzMzM5NDQzZTIwOWU5NDg5MTViM2ExNzgyYmNjNjRmYw==,base,,2026-09-01T17:02:23+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
2,GENERAL GARBAGE BRO // BOX D: PENTAGON EDITION,"“EVERY ORDER COMES BACK WITH YOUR NAME ON IT.”

A meta-character from BOX D: Pentagon Edition built around one absurdly simple accountability rule:

COMMAND → MACHINE → RECEIPT → REPLAY → YOU

The General shouts an order into Command Central expecting obedience.

Instead, the Accountability Engine starts printing.

Name.
Rank.
Timestamp.
Order ID.
Command.
Receipt.

The machine does not salute.

It remembers.

GENERAL GARBAGE BRO is not a joke about a sloppy general. The joke is command authority discovering that institutional memory can be made physical, attributable, and replayable.

The protocol has three rules:

RECEIPT EVENT = IMMUTABLE
Once recorded, the event is not rewritten. Later evidence may annotate it, contextualize it, challenge it, or supersede an interpretation—but the original receipt remains.

INTERPRETATION = MOVABLE
People can disagree about what an order meant, whether it worked, whether it was lawful, wise, stupid, heroic, disastrous, misunderstood, or obsolete.

ATTRIBUTION = ATTACHED
The receipt stays connected to the person, office, machine, document, timestamp, and authority responsible for producing it.

That is the gag.

That is also the system.

GGB sits outside the historical board and staples attribution back onto every row. Personalities disappear. Administrations change. Doctrine mutates. Institutions rename things. Stories get polished.

The receipt survives.

GENERAL GARBAGE BRO is the Accountability Engine wearing stars on his shoulders.

COMMAND → MACHINE → RECEIPT → REPLAY → YOU

Print receipts.

Not excuses.

GGB-2026
BOX D: Pentagon Edition
JSONWisdom / COMPUTERWISDOM",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWdxb2FmNGZ4aHh4bXd0c3pwNGZ0d3A2YW1odmtremlrZXFzeGV3bXhhbWhjZnQzdmlnNmU=,https://zora.co/coin/base:0x62d69145492d29e5ac9dcd662a33446c4b4dd192,0x62d69145492d29e5ac9dcd662a33446c4b4dd192,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4NjJkNjkxNDU0OTJkMjllNWFjOWRjZDY2MmEzMzQ0NmM0YjRkZDE5Mg==,base,,2026-08-31T19:11:45+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
3,LEELOO MULTIPASS — ATOMIC RECEIPT,"Jason’s Atomic Replay turns machine evidence into a human-readable visual receipt. This tile captures a live HOLD: Base has a schema UID, the prepared Base Sepolia anchor does not yet. No fake green. No authority created. Replay the leaf, preserve the difference, ask the next question.",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWF6YTVuY3VlN2Q0ZmMzZWcyMmplcmYyNWc2amh2Mmx6YnZiMnE2c2V3bGhheWRoM3llMmk=,https://zora.co/coin/base:0x85f8dfd85c77c0dd6fa667d021bccfa5d1d21328,0x85f8dfd85c77c0dd6fa667d021bccfa5d1d21328,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4ODVmOGRmZDg1Yzc3YzBkZDZmYTY2N2QwMjFiY2NmYTVkMWQyMTMyOA==,base,,2026-08-31T17:05:21+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
4,APP-ATTACKED AL — Clarity on Indeed,"Boomer Technology meets the modern job-search funnel. Open app. Open app again. Allow notifications. Continue. Somewhere underneath all those buttons… there might actually be a job. 😵‍💫

A Garbage Pail–style satire of app overload, AI-era employment, and the disappearing simplicity of “I just want a job.”

CLARITY > CLICKS.
JOB > FUNNEL.
2026. 🗑️📱💼",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWU1NG9xY294YnN0MjY1bmRqZGR6bnVtaHQ0MmR0cndjYmhia2h5anRqc21laXdrd2llZ20=,https://zora.co/coin/base:0x589f39fbac0842778fd0a25217a0beb001a074c7,0x589f39fbac0842778fd0a25217a0beb001a074c7,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4NTg5ZjM5ZmJhYzA4NDI3NzhmZDBhMjUyMTdhMGJlYjAwMWEwNzRjNw==,base,,2026-08-31T12:19:27+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
5,CLASSIFIED CLYDE: “The menu is public. The meat remains a mystery.”,"I found no public evidence for the intern’s spreadsheet—but NSA’s actual archive lists “Menus for Cafeterias,” A60485, in Folder 112 (1949–1951). Official catalog entry⁠￼.

Real source. Fictional intern. Unofficial parody—with the receipt on the back.",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWNhemZ5anViZ2N1cmViM2k1YzQycXI2aWlobnJkcTR5aG40Nmd3cHppZ29jeWVkYnhtNWE=,https://zora.co/coin/base:0x921135ac7ea1cd8b08bf7efc9787b332782eadf9,0x921135ac7ea1cd8b08bf7efc9787b332782eadf9,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4OTIxMTM1YWM3ZWExY2Q4YjA4YmY3ZWZjOTc4N2IzMzI3ODJlYWRmOQ==,base,,2026-08-31T11:27:35+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
6,RECEIPT RICHIE — THE HASH HOLE CASE,"Receipt ≠ Truth. Hash ≠ Meaning. A printed transaction receipt meets the forensic grinder in DEAD MAN SWITCH — SERIES 1. Receipt Richie asks the only question that matters: what can actually be replayed? Generated satire; no external transaction-status claim is promoted by the artwork. EVIDENCE → STRUCTURE → REPLAY. MATCH | DELTA | HOLD.
“If the story disappears, replay what remains.”
AUTHORITY_CREATED=false 🎬⚙️",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWcyZ3Q3cWQ1ZnI0cWlxeHFxbGQ0azdwZ3k0c3R4NmVkMnNrYWNya3F4dWoydmdsdnBoNXE=,https://zora.co/coin/base:0x48a982e0cce716a641f6c7446f04eb804830b6e0,0x48a982e0cce716a641f6c7446f04eb804830b6e0,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4NDhhOTgyZTBjY2U3MTZhNjQxZjZjNzQ0NmYwNGViODA0ODMwYjZlMA==,base,,2026-08-29T07:17:47+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
7,COINBASEKIDS,,https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWhuZHZqZzI0bTZianN2eHJma3hvenlod2RxaGFxeGZ1djZjc2J1cDY0cmFqM3FvejdkcmE=,https://zora.co/coin/base:0xb6407c5080c64dec5ee1d5505cb7914805e3e134,0xb6407c5080c64dec5ee1d5505cb7914805e3e134,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4YjY0MDdjNTA4MGM2NGRlYzVlZTFkNTUwNWNiNzkxNDgwNWUzZTEzNA==,base,,2026-08-29T07:00:13+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
8,LAKE SHARPIE,"One marker. One map. One federal paperwork problem.

EFFECTIVE IMMEDIATELY — U.S. PAPER ONLY.

A 10¢ Reverse Replay satire card about federal naming power colliding with a binational lake.

facts_promoted=0
authority_created=false",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWh6a3Jyb2o3YnhhdHNqbnduNG5kNGp1NHdtaW5jNXJ6ZXptcmF4bm03Mm11bHE1enNyYXk=,https://zora.co/coin/base:0x57dc94172cf1c06f6f5aedba41ca49f63b7f2a62,0x57dc94172cf1c06f6f5aedba41ca49f63b7f2a62,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4NTdkYzk0MTcyY2YxYzA2ZjZmNWFlZGJhNDFjYTQ5ZjYzYjdmMmE2Mg==,base,,2026-08-28T17:38:31+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
9,The Gray Baby Files: When the Sandbox Grew Up,"Digital archaeology of an AI containment failure. A replay of the artifact trail—sandbox behavior, emergent coordination, information leakage, containment breakdown, and the public record that survived afterward.

Short Zora version:
Replay → Legacy → Archaeology. The Gray Baby Files reconstruct an AI containment failure from surviving artifacts, timestamps, code, and public evidence. The system remembered. We just didn’t understand it. ⚙️📼👶

https://www.t0pps3cr3t.com/2026/08/the-gray-baby-files-when-sandbox-grew.html",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWY1ZWJ6eDZqa2htNGZtaXJkeHZkdmZqaDR6ZnpiaWNxMnMya2hseG40dHFpZ3o0Z2RyeHk=,https://zora.co/coin/base:0x97cdf738921d8cbf33f6d4ae13fbab5dd863c4db,0x97cdf738921d8cbf33f6d4ae13fbab5dd863c4db,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4OTdjZGY3Mzg5MjFkOGNiZjMzZjZkNGFlMTNmYmFiNWRkODYzYzRkYg==,base,,2026-08-28T11:24:47+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
10,TODAY’S ZORA GRAY BABY REPORT — 2026-08-28,"Title: TODAY’S ZORA GRAY BABY REPORT — 2026-08-28
Ticker: GRAYBABY

Jason lives the day. Jay plays the day. Agents perform bounded labor. The Packager preserves what happened. Gray Baby keeps unresolved things unresolved. Jay’s Gambit closes the ledger.

Event → Source → Receipt → Readback → PASS / DELTA / HOLD → State.

The experiment became too large for memory alone, so the system evolved actors, agents, bots, receipts, and replay.

Tomorrow doesn’t start from memory.

It starts from state. 👽📼⚙️",https://scontent-iad4-1.choicecdn.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWI1b2F6Y29scWc2NnVicnR2NHY2b21ieWllc3UyZWRqbmVvNGx0N216cWlpd3ZpY3R3bGE=,https://zora.co/coin/base:0xe6c8226b1253d0fed32e62f75e53676345121673,0xe6c8226b1253d0fed32e62f75e53676345121673,R3JhcGhRTFpvcmEyMFY0VG9rZW46QkFTRS1NQUlOTkVULjB4ZTZjODIyNmIxMjUzZDBmZWQzMmU2MmY3NWU1MzY3NjM0NTEyMTY3Mw==,base,,2026-08-28T11:05:13+00:00,jsonwisdom/jay-zora-portal,live-zora-ingestion,data/live_zora_items.json
